as_of,ticker,name,sector,industry,currency,quote_type,price,market_cap,shares_outstanding,pe_trailing,pe_forward,pbv,eps_ttm,book_value_per_share,roe,roa,profit_margin,operating_margin,earnings_growth,revenue_growth,debt_to_equity,current_ratio,free_cashflow,total_cash,total_debt,dividend_yield,payout_ratio,five_year_avg_dividend_yield,provider,provider_version,schema_version
2026-09-22,GOLF,PT Intra Golflink Resorts Tbk,Consumer Cyclical,Leisure,IDR,EQUITY,176.0,3429669797888,19486760000,64.2336,,0.4276,2.74,411.58,0.00666,0.00496,0.22391,0.21708,0.123,0.532,6.035,5.856,95877414912,235494359040,484076453888,0.3,0.4478,,yfinance,0.2.65,1
2026-09-22,GOOD,PT Garudafood Putra Putri Jaya Tbk,Consumer Defensive,Packaged Foods,IDR,EQUITY,308.0,11358302109696,36877600855,16.2105,,2.9081,19.0,105.91,0.18859,0.07459,0.04889,0.05088,0.096,0.286,55.88,1.272,206743371776,912625434624,2409738272768,3.06,0.4997,1.8,yfinance,0.2.65,1
2026-09-22,GOTO,PT GoTo Gojek Tokopedia Tbk,Technology,Software - Infrastructure,IDR,EQUITY,50.0,53304621006848,1066092420829,,-9.3985,1.6453,-0.02,30.39,-0.01157,0.00801,9e-05,0.06434,,0.306,28.366,2.61,1504526729216,23679582863360,8220597813248,,0.0,,yfinance,0.2.65,1
2026-09-22,GRIA,PT Ingria Pratama Capitalindo Tbk,Real Estate,Real Estate - Development,IDR,EQUITY,176.0,1298126864384,7375720674,189.2473,,3.2569,0.93,54.04,0.01734,0.01,0.1201,0.09889,-0.226,-0.344,11.739,5.563,26528391168,12779987968,46790258688,,0.0,,yfinance,0.2.65,1
2026-09-22,GSMF,PT Equity Development Investment Tbk,Financial Services,Insurance - Diversified,IDR,EQUITY,99.0,1530224705536,1441440000,57.8947,,0.6073,1.71,163.02,0.01055,0.00662,0.02445,-0.20629,,-0.274,18.065,3.194,-1355061919744,1188939956224,476109996032,,0.0,,yfinance,0.2.65,1
2026-09-22,GTSI,PT GTS Internasional Tbk,Industrials,Marine Shipping,IDR,EQUITY,151.0,2388690731008,15819142767,,,50333.332,-4.45,0.0,-0.06049,-0.00996,-0.11025,-0.13177,,0.138,78.307,1.284,-30126092,18956242,48829648,0.63,0.0,,yfinance,0.2.65,1
2026-09-22,GWSA,PT Greenwood Sejahtera Tbk,Real Estate,Real Estate - Development,IDR,EQUITY,165.0,1287125336064,7800760000,9.0959,,0.1765,18.14,934.69,0.01838,-0.00491,1.71904,-0.75002,0.091,0.29,2.054,33.318,-81750343680,103027384320,151043489792,,0.0,,yfinance,0.2.65,1
2026-09-22,GZCO,PT Gozco Plantations Tbk,Consumer Defensive,Farm Products,IDR,EQUITY,181.0,1046118596608,5779661000,9.2725,,0.8673,19.52,208.69,0.09316,0.04336,0.13636,0.20626,2.889,0.325,24.979,0.495,129034248192,75574001664,313597984768,,0.0,,yfinance,0.2.65,1
2026-09-22,HATM,PT Habco Trans Maritima Tbk,Industrials,Marine Shipping,IDR,EQUITY,510.0,4753199726592,9320000000,93.4066,,2.7027,5.46,188.7,0.02388,0.01852,0.04026,0.1729,-0.147,0.062,8.06,3.462,150876930048,159655706624,132008747008,0.39,0.3676,,yfinance,0.2.65,1
2026-09-22,HEAL,PT Medikaloka Hermina Tbk,Healthcare,Medical Care Facilities,IDR,EQUITY,640.0,9757247143936,15245698700,24.6723,12.9949,1.7693,25.94,361.72,0.07281,0.04891,0.0541,0.11906,-0.135,0.077,51.262,1.271,-522991632384,571786985472,3638121988096,2.06,0.521,0.63,yfinance,0.2.65,1
